table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
3,,1,Democracy_t-1,coef,0.7488986210163641,0.749,1.0137898363593578e-4,0.03448773856824533,0.034,4.8773856824532724e-4,TRUE,NA
3,,1,Log GDP per capita_t-1,coef,0.05303486779948224,0.053,3.486779948223828e-5,0.01022741997272326,0.01,2.2741997272325912e-4,TRUE,NA
3,,1,Observations,count,854,854,0,NA,NA,NA,TRUE,NA
3,,1,Countries,count,136,136,0,NA,NA,NA,TRUE,NA
3,,1,R-squared,r2,0.7724549781099226,0.77,0.0024549781099225676,NA,NA,NA,TRUE,NA
3,,2,Democracy_t-1,coef,0.4486069847546226,0.449,3.9301524537743715e-4,0.06320212671425413,0.063,2.0212671425412498e-4,TRUE,NA
3,,2,Log GDP per capita_t-1,coef,-0.0055954196711132,-0.006,4.045803288868005e-4,0.03878785894045791,0.039,2.121410595420925e-4,TRUE,NA
3,,2,Observations,count,854,854,0,NA,NA,NA,TRUE,NA
3,,2,Countries,count,136,136,0,NA,NA,NA,TRUE,NA
3,,2,R-squared,r2,0.8199956071568211,0.82,4.3928431788797795e-6,NA,NA,NA,TRUE,NA
3,,3,Democracy_t-1,coef,0.5817886745677929,0.582,2.1132543220703237e-4,0.12725082301873653,0.127,2.5082301873652346e-4,TRUE,NA
3,,3,Log GDP per capita_t-1,coef,-0.41258131256366126,-0.413,4.186874363387161e-4,0.16287459354873884,0.127,0.03587459354873884,FALSE,It is a copy of the standard error one row above. Every standard method gives 0.163.
3,,3,Observations,count,747,747,0,NA,NA,NA,TRUE,NA
3,,3,Countries,count,114,114,0,NA,NA,NA,TRUE,NA
3,,4,Democracy_t-1,coef,0.5897910230548581,0.59,2.0897694514188103e-4,0.10617636049166006,0.106,1.763604916600603e-4,TRUE,NA
3,,4,Log GDP per capita_t-1,coef,-0.35056387752400164,-0.351,4.361224759983351e-4,0.12722323171799338,0.127,2.2323171799337738e-4,TRUE,NA
3,,4,Observations,count,747,747,0,NA,NA,NA,TRUE,NA
3,,4,Countries,count,114,114,0,NA,NA,NA,TRUE,NA
3,,5,Log GDP per capita_t-1,coef,-0.01122193312640619,-0.011,2.2193312640618988e-4,0.05463656518370193,0.055,3.6343481629807356e-4,TRUE,NA
3,,5,Observations,count,880,880,0,NA,NA,NA,TRUE,NA
3,,5,Countries,count,136,136,0,NA,NA,NA,TRUE,NA
3,,5,R-squared,r2,0.7747268952539909,0.77,0.004726895253990837,NA,NA,NA,TRUE,NA
3,,6,Democracy_t-1,ftest_p,1.1840749399291588e-91,0,1.1840749399291588e-91,NA,NA,NA,TRUE,NA
3,,6,Log GDP per capita_t-1,ftest_p,0.5318828309484295,0.53,0.001882830948429448,NA,NA,NA,TRUE,NA
3,,6,Observations,count,3701,3701,0,NA,NA,NA,TRUE,NA
3,,6,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
3,,6,R-squared,r2,0.9589140092796752,0.96,0.001085990720324781,NA,NA,NA,TRUE,NA
3,,7,Democracy_t-1,coef,0.05987291388044002,0.06,1.2708611955997845e-4,0.0913077035737543,0.091,3.0770357375430046e-4,TRUE,NA
3,,7,Log GDP per capita_t-1,coef,0.00740494114836637,0.007,4.049411483663702e-4,0.07043981869213041,0.07,4.3981869213040314e-4,TRUE,NA
3,,7,Observations,count,419,419,0,NA,NA,NA,TRUE,NA
3,,7,Countries,count,114,114,0,NA,NA,NA,TRUE,NA
3,,7,R-squared,r2,0.7693436468201433,0.77,6.563531798566835e-4,NA,NA,NA,TRUE,NA
3,,8,Democracy_t-1,coef,0.3088160604543133,0.309,1.8393954568668436e-4,0.1337685131176494,0.134,2.314868823506122e-4,TRUE,NA
3,,8,Log GDP per capita_t-1,coef,-0.3680285185086074,-0.368,2.851850860741134e-5,0.189779668019306,0.19,2.2033198069398852e-4,TRUE,NA
3,,8,Observations,count,302,302,0,NA,NA,NA,TRUE,NA
3,,8,Countries,count,107,107,0,NA,NA,NA,TRUE,NA
3,,9,Democracy_t-1,coef,-0.5159982800627975,-0.516,1.7199372025489268e-6,0.1651993601949901,0.165,1.9936019499008917e-4,TRUE,NA
3,,9,Log GDP per capita_t-1,coef,-0.12594448833753694,-0.126,5.5511662463064715e-5,0.16390954616829845,0.164,9.045383170155907e-5,TRUE,NA
3,,9,Observations,count,168,168,0,NA,NA,NA,TRUE,NA
3,,9,Countries,count,100,100,0,NA,NA,NA,TRUE,NA
3,,9,R-squared,r2,0.8676284359981602,0.87,0.0023715640018397988,NA,NA,NA,TRUE,NA
